Outlet_ID,cluster_id
OUT_00001,0
OUT_00002,0
OUT_00003,0
OUT_00004,0
OUT_00005,0
OUT_00006,0
OUT_00007,0
OUT_00008,0
OUT_00009,0
OUT_00010,0
OUT_00011,0
OUT_00012,0
OUT_00013,0
OUT_00014,0
OUT_00015,0
OUT_00016,0
OUT_00017,0
OUT_00018,0
OUT_00019,0
OUT_00020,0
OUT_00021,0
OUT_00022,0
OUT_00023,0
OUT_00024,0
OUT_00025,0
OUT_00026,0
OUT_00027,0
OUT_00028,0
OUT_00029,0
OUT_00030,0
OUT_00031,0
OUT_00032,0
OUT_00033,0
OUT_00034,0
OUT_00035,0
OUT_00036,0
OUT_00037,0
OUT_00038,0
OUT_00039,0
OUT_00040,0
OUT_00041,0
OUT_00042,0
OUT_00043,0
OUT_00044,0
OUT_00045,0
OUT_00046,0
OUT_00047,0
OUT_00048,0
OUT_00049,0
OUT_00050,0
OUT_00051,0
OUT_00052,0
OUT_00053,0
OUT_00054,0
OUT_00055,0
OUT_00056,0
OUT_00057,0
OUT_00058,0
OUT_00059,0
OUT_00060,0
OUT_00061,0
OUT_00062,0
OUT_00063,0
OUT_00064,0
OUT_00065,0
OUT_00066,0
OUT_00067,0
OUT_00068,0
OUT_00069,0
OUT_00070,0
OUT_00071,0
OUT_00072,0
OUT_00073,0
OUT_00074,0
OUT_00075,0
OUT_00076,0
OUT_00077,0
OUT_00078,0
OUT_00079,0
OUT_00080,0
OUT_00081,0
OUT_00082,0
OUT_00083,0
OUT_00084,0
OUT_00085,0
OUT_00086,0
OUT_00087,0
OUT_00088,0
OUT_00089,0
OUT_00090,2
OUT_00091,0
OUT_00092,0
OUT_00093,0
OUT_00094,0
OUT_00095,0
OUT_00096,0
OUT_00097,0
OUT_00098,0
OUT_00099,0
OUT_00100,0
OUT_00101,0
OUT_00102,0
OUT_00103,0
OUT_00104,0
OUT_00105,0
OUT_00106,0
OUT_00107,0
OUT_00108,0
OUT_00109,0
OUT_00110,0
OUT_00111,0
OUT_00112,0
OUT_00113,0
OUT_00114,0
OUT_00115,0
OUT_00116,0
OUT_00117,0
OUT_00118,0
OUT_00119,0
OUT_00120,0
OUT_00121,0
OUT_00122,0
OUT_00123,0
OUT_00124,0
OUT_00125,0
OUT_00126,0
OUT_00127,0
OUT_00128,0
OUT_00129,0
OUT_00130,0
OUT_00131,0
OUT_00132,0
OUT_00133,0
OUT_00134,0
OUT_00135,0
OUT_00136,0
OUT_00137,0
OUT_00138,0
OUT_00139,0
OUT_00140,0
OUT_00141,0
OUT_00142,0
OUT_00143,0
OUT_00144,0
OUT_00145,0
OUT_00146,0
OUT_00147,0
OUT_00148,0
OUT_00149,0
OUT_00150,0
OUT_00151,0
OUT_00152,0
OUT_00153,0
OUT_00154,0
OUT_00155,0
OUT_00156,0
OUT_00157,0
OUT_00158,0
OUT_00159,0
OUT_00160,0
OUT_00161,0
OUT_00162,0
OUT_00163,0
OUT_00164,0
OUT_00165,0
OUT_00166,0
OUT_00167,0
OUT_00168,0
OUT_00169,0
OUT_00170,0
OUT_00171,0
OUT_00172,0
OUT_00173,0
OUT_00174,0
OUT_00175,0
OUT_00176,0
OUT_00177,0
OUT_00178,0
OUT_00179,0
OUT_00180,0
OUT_00181,0
OUT_00182,0
OUT_00183,0
OUT_00184,0
OUT_00185,0
OUT_00186,0
OUT_00187,0
OUT_00188,0
OUT_00189,0
OUT_00190,0
OUT_00191,0
OUT_00192,0
OUT_00193,0
OUT_00194,0
OUT_00195,0
OUT_00196,0
OUT_00197,0
OUT_00198,0
OUT_00199,0
OUT_00200,0
OUT_00201,0
OUT_00202,0
OUT_00203,0
OUT_00204,0
OUT_00205,0
OUT_00206,0
OUT_00207,0
OUT_00208,0
OUT_00209,0
OUT_00210,0
