Outlet_ID,return_record_count,return_liters_abs,return_value_abs,return_month_count,return_sku_count
OUT_00001,1,18.931680422175024,6990.161173873878,1,1
OUT_00002,2,169.72663213593688,42997.424725533754,2,1
OUT_00004,2,32.924344151398856,35996.7765539712,2,2
OUT_00012,1,19.657700384336053,6880.232154739432,1,1
OUT_00016,1,374.1745981110672,31430.688267601672,1,1
OUT_00017,1,20.38538532604622,7526.871386552941,1,1
OUT_00021,1,22.0030209958854,48406.68638836251,1,1
OUT_00025,1,55.51412303140109,36084.14046335724,1,1
OUT_00029,1,84.90514686677969,21509.27748396109,1,1
OUT_00032,2,42.89390114041998,17121.60499993449,2,2
OUT_00037,1,85.69631337883713,55702.61236887748,1,1
OUT_00042,2,67.09020146894687,37468.095504217985,2,2
OUT_00043,1,8.029245853114345,17664.29137051876,1,1
OUT_00045,1,23.36631336411289,8178.225041476938,1,1
OUT_00047,1,31.068424622458668,10873.90714002014,1,1
OUT_00048,2,101.29373172659298,58715.5616740454,1,2
OUT_00055,1,77.31849672128581,6958.64493841085,1,1
OUT_00065,1,24.029148124461617,8410.158519983403,1,1
OUT_00067,1,290.366044660154,24390.742491096004,1,1
OUT_00068,1,37.45999561668975,11237.976091281804,1,1
OUT_00069,1,58.23632504323659,5241.262030480442,1,1
OUT_00074,1,92.90792172313472,23536.720769589007,1,1
OUT_00077,1,33.33849529427204,12309.598628270189,1,1
OUT_00079,1,18.959197907905587,41710.26699772556,1,1
OUT_00080,1,90.713574911357,22980.774521300435,1,1
OUT_00081,1,32.042404481806514,9612.733547790038,1,1
OUT_00088,2,89.05026808413855,23610.4551169204,2,2
OUT_00089,1,19.716662043739227,7279.986492658803,1,1
OUT_00090,1,63.900844098809856,41535.59776170486,1,1
OUT_00094,1,57.94560978223269,5215.08338321962,1,1
OUT_00110,1,23.170876635640937,7530.539160084116,1,1
OUT_00112,1,83.94406719534152,21265.809833373343,1,1
OUT_00114,2,162.20735732137348,43230.31745148515,2,2
OUT_00115,3,121.40948622944322,34046.63336141569,3,3
OUT_00118,2,84.02941047877044,50259.91459750355,2,2
OUT_00120,1,51.65665425199543,15496.967593606842,1,1
OUT_00122,1,62.78657143396303,40811.259381548334,1,1
OUT_00123,1,33.32497440040546,10830.601371470491,1,1
OUT_00127,1,16.665497039256604,7332.788174494245,1,1
OUT_00134,1,22.930510230751047,7452.383364062223,1,1
OUT_00145,1,55.71992648374001,36217.91227082812,1,1
OUT_00146,1,73.89018341852882,6650.164592554693,1,1
OUT_00147,1,14.246778485569315,31342.91204648118,1,1
OUT_00150,1,31.324190243136904,9397.2978493379,1,1
OUT_00151,1,24.28283687272301,8498.95423967157,1,1
OUT_00153,1,14.026997561958158,30859.414194404853,1,1
OUT_00158,1,17.840103534691732,6587.106515359884,1,1
OUT_00161,1,13.885597658607017,30548.28345040007,1,1
OUT_00162,1,19.09228025157097,7049.425825944394,1,1
OUT_00165,1,66.09698045586867,5948.7485119847925,1,1
OUT_00168,3,75.44108727969476,37741.78830022943,3,3
OUT_00169,1,28.664495939221528,12612.330045857589,1,1
OUT_00170,1,15.17578037775957,33386.73872583446,1,1
OUT_00171,1,16.310803847187767,35883.78993552355,1,1
OUT_00174,1,14.084589674900243,4577.488948307837,1,1
OUT_00177,1,29.263279048798907,10242.17424028249,1,1
OUT_00178,2,70.6804533358707,21774.681653100248,2,2
OUT_00182,2,110.7993609761084,64985.206054677124,2,2
OUT_00185,1,31.293882600006743,10170.483374164856,1,1
OUT_00186,3,114.7227504313891,20251.585217517262,3,3
OUT_00190,2,114.32400191143952,15652.319600331786,2,2
OUT_00191,2,45.12336872566903,43365.43167779822,2,2
OUT_00193,1,30.435200944966592,10652.36482052822,1,1
OUT_00195,1,20.286305960406263,44629.92297413704,1,1
OUT_00196,1,60.446176475833646,39290.04436034053,1,1
OUT_00199,3,102.02324664004445,50340.74242541724,3,2
OUT_00203,2,52.41965109159527,21760.393275667666,1,2
OUT_00206,2,82.60027857372256,17321.60951583564,2,2
OUT_00212,2,102.67403332321678,56059.01556612535,2,2
OUT_00217,1,22.11816184172721,7741.400152474189,1,1
OUT_00218,1,24.087223750213926,8893.746605822867,1,1
OUT_00226,2,132.11227499649775,23374.391804656054,2,2
OUT_00227,1,24.998488382378014,8749.499121501423,1,1
OUT_00228,3,86.23332195492286,53057.97881845852,3,3
OUT_00236,2,35.301475951810005,39711.897147803866,2,2
OUT_00237,1,25.034381692109477,8136.129762777448,1,1
OUT_00240,1,18.848977374743413,5654.668623352683,1,1
OUT_00242,1,38.70099533244892,25155.65527589512,1,1
OUT_00243,1,13.767949939969434,30289.443029958667,1,1
OUT_00245,1,20.30022807507658,7495.429854116077,1,1
OUT_00248,1,261.42798321537134,21959.946252722857,1,1
OUT_00253,2,156.0738868329816,41433.059696297656,2,2
OUT_00257,1,24.510571124762084,7353.137678158077,1,1
