Outlet_ID,Year,Month,Distributor_ID,SKU_ID,Volume_Liters,Total_Bill_Value,_dq_rejection_reason,Price_Per_Liter
OUT_19987,2024,12,DIST_S_02,SKU_07,-20.97522261545517,-13633.905372676802,,650.0005088208662
OUT_14664,2025,4,DIST_NW_01,SKU_02,-142.66237109624393,-36141.10743771544,,253.3331470660449
OUT_13596,2023,6,DIST_NW_02,SKU_05,-72.33638536313663,-6510.268246003639,,89.99991101741365
OUT_10231,2025,2,DIST_C_03,SKU_05,-64.16553952078387,-5774.896514313908,,89.9999681673893
OUT_17901,2024,7,DIST_S_01,SKU_08,-6.00637464495142,-2642.768002054568,,439.99386622942546
OUT_16990,2024,2,DIST_NW_01,SKU_04,-48.16716788631389,-15654.295884250618,,324.99930079340606
OUT_14981,2023,8,DIST_NW_01,SKU_10,-19.292824038448067,-7123.48159133034,,369.2295942332847
OUT_17208,2023,4,DIST_S_02,SKU_05,-90.313230864371,-8128.19293033194,,90.00002383414402
OUT_13324,2024,6,DIST_NW_02,SKU_04,-9.309313409493612,-3025.5360134549624,,325.00098346345595
OUT_02956,2023,7,DIST_W_02,SKU_08,-33.40243896597676,-14697.091952633858,,440.0005630608023
OUT_09644,2024,2,DIST_C_01,SKU_10,-3.7354623288150703,-1379.2052378130163,,369.21942089308004
OUT_10635,2023,1,DIST_C_01,SKU_10,-4.126454041387895,-1523.6473403130935,,369.23889737558517
OUT_04280,2024,2,DIST_W_02,SKU_10,-7.204768998428933,-2660.202861283228,,369.2280573968867
OUT_12140,2024,4,DIST_C_02,SKU_02,-29.340923152874563,-7433.070840977125,,253.3345935384756
OUT_12601,2023,2,DIST_C_02,SKU_08,-5.804334276787905,-2553.863538457871,,439.99249813557753
OUT_08380,2023,3,DIST_W_02,SKU_03,-10.703745883275689,-3746.346285421466,,350.00329102310155
OUT_15047,2023,6,DIST_NW_02,SKU_07,-106.6162696363696,-69300.56187602837,,649.9998744318112
OUT_04185,2025,4,DIST_W_01,SKU_09,-8.859455207478975,-19490.79242669269,,2199.998980776939
OUT_19437,2023,12,DIST_S_01,SKU_03,-15.21803400373684,-5326.344904122302,,350.00216866478286
OUT_15063,2025,6,DIST_NW_01,SKU_03,-25.77979687715121,-9022.88208734203,,349.9981838623044
OUT_13931,2023,4,DIST_NW_01,SKU_08,-18.436650994760047,-8112.128474846457,,440.00011049469
OUT_17838,2024,2,DIST_S_02,SKU_02,-146.74768103099058,-37176.08817615544,,253.33339453796543
OUT_12354,2023,12,DIST_C_02,SKU_05,-17.561978037028545,-1580.538590202588,,89.9977546304922
OUT_17926,2023,1,DIST_S_01,SKU_06,-195.7538019697336,-16443.3055277106,,83.99992931045588
OUT_10581,2024,10,DIST_C_03,SKU_08,-15.13238444197343,-6658.221838360835,,439.9981948576856
OUT_16551,2025,12,DIST_NW_01,SKU_02,-54.246169487544215,-13742.39769189325,,253.33397402463086
OUT_06550,2025,11,DIST_W_02,SKU_08,-13.960920978754755,-6142.792820761249,,439.9991110979811
OUT_02072,2023,2,DIST_W_02,SKU_07,-72.07653560126438,-46849.70286077215,,649.9993717782171
OUT_16279,2023,10,DIST_NW_01,SKU_06,-119.54049212390052,-10041.402330894787,,84.00000830251847
OUT_03330,2024,5,DIST_W_02,SKU_06,-397.9350135535184,-33426.50266030958,,83.99990330535225
OUT_15212,2025,6,DIST_NW_02,SKU_03,-20.070486614688896,-7024.716277608684,,350.0022900524762
OUT_13822,2025,2,DIST_NW_02,SKU_05,-12.03276884805914,-1082.9837262601525,,90.00286965828613
OUT_14208,2024,10,DIST_NW_02,SKU_05,-129.59105257553048,-11663.15763464763,,89.9997137367945
